STT,Câu hỏi,1,2,3,4,Đáp án
2748,"Để xác thực giao dịch tài chính trên Agribank E-Mobile Banking, khách hàng có thể áp dụng phương thức nào?",SMS OTP.,Mật khẩu khách hàng tự chọn.,Mống mắt.,Tất cả các đáp án trên.,1
2749,Dịch vụ tài chính của eBanking không bao gồm?,Dịch vụ thanh toán.,Thanh toán quốc tế.,Tín dụng.,Tra cứu thông tin do Agribank niêm yết công khai.,4
2750,"Luật Phòng, chống rửa tiền năm 2022 có hiệu lực thi hành kể từ ngày nào (không bao gồm hiệu lực đối với Khoản 1 Điều 64)",01/01/2023,01/03/2023,01/6/2023,01/12/2023,2
2751,"Theo Luật Phòng, chống rửa tiền năm 2022, ""rửa tiền"" được định nghĩa là:",Là việc biến đổi thu nhập phi pháp thành tài sản mà các cơ quan công quyền không thể truy ra nguồn gốc phi pháp ấy.,"Là hành vi của tổ chức, cá nhân nhằm hợp pháp hóa nguồn gốc của tài sản do phạm tội mà có",Là việc hợp pháp hóa tài sản có được trực tiếp hoặc gián tiếp từ hành vi phạm tội,"Là hợp pháp hóa phần thu nhập, hoa lợi, lợi tức, lợi nhuận sỉnh ra từ tài sản có được từ hành vi phạm tội",2
2752,"Theo Luật Phòng, chống rửa tiền năm 2022, ""tài sản do phạm tội mà có"" là:","Tài sản có được trực tiếp hoặc gián tiếp từ hành vi phạm tội; phần thu nhập, hoa lợi, lợi tức, lợi nhuận sinh ra từ tài sản có được từ hành vi phạm tội.","Phần thu nhập, hoa lợi, lợi tức, lợi nhuận sinh ra từ tài sản các đối tượng phạm tội",Tài sản có được trực tiếp hoặc gián tiếp từ tất cả các hoạt động của tội phạm tài chính.,Tài sản và/hoặc thu nhập sinh ra từ hành vi phạm tội.,1
2753,"Theo Luật Phòng, chống rửa tiền năm 2022, nội dung ""Giao dịch bằng tiền mặt hoặc ngoại tệ tiền mặt được thực hiện một hoặc nhiều lần trong một ngày, có tổng giá trị bằng hoặc vượt mức quy định"" là khái niệm của loại giao dịch nào sau đây",Giao dịch chuyển tiền điện tử,Giao dịch có giá trị lớn,Giao dịch có giá trị lớn phải báo cáo,Giao dịch bất thường phải báo cáo,3
2754,"""Chủ sở hữu hưởng lợi"" được định nghĩa trong Luật Phòng, chống rửa tiền năm 2022 là",Cá nhân có quyền chi phối một pháp nhân hoặc một thỏa thuận pháp lý.,"Cá nhân có quyền sở hữu trên thực tế một hoặc một số tài sản, có quyền chi phối khách hàng thực hiện giao dịch liên quan đến tài sản cho cá nhân này.","Cá nhân có quyền sở hữu một tài sản, có quyền chi phối khách hàng thực hiện giao dịch liên quan đến tài sản cho cá nhân này; Cá nhân có quyền chi phối một thỏa thuận pháp lý.","Cá nhân có quyền sở hữu trên thực tế một hoặc một số tài sản, có quyền chi phối khách hàng thực hiện giao dịch liên quan đến tài sản cho cá nhân này; cá nhân có quyền chi phối một pháp nhân hoặc một thỏa thuận pháp lý",4
2755,"""Quan hệ ngân hàng đại lý"" được định nghĩa tại Luật Phòng, chống rửa tiền năm 2022 là:","Quan hệ được hình thành từ việc một ngân hàng cung cấp dịch vụ ngân hàng, thanh toán và các dịch vụ khác cho một ngân hàng khác.","Quan hệ được hình thành từ việc một ngân hàng tại một quốc gia, vùng lãnh thổ cung cấp dịch vụ ngân hàng, thanh toán cho một ngân hàng tại chính quốc gia, vùng lãnh thổ đó.","Quan hệ được hình thành từ việc một ngân hàng tại một quốc gia, vùng lãnh thổ cung cấp dịch vụ ngân hàng, thanh toán và các dịch vụ khác cho một ngân hàng đối tác tại một quốc gia, vùng lãnh thổ khác.","Quan hệ được hình thành từ việc một ngân hàng tại một quốc gia, vùng lãnh thổ khảo sát dịch vụ của một ngân hàng đối tác tại một quốc gia, vùng lãnh thổ khác.",3
2756,"Theo Luật Phòng, chống rửa tiền năm 2022, danh sách đen bao gồm:","Danh sách tổ chức, cá nhân do Ngân hàng Nhà nước Việt Nam lập nhằm cảnh báo về tổ chức, cá nhân có rủi ro cao về rửa tiền.","Danh sách tổ chức, cá nhân do Agribank lập trên cơ sở giám sát giao dịch của Agribank hoặc các ngân hàng khác phát hiện/ thông báo có các hành vi tội phạm, lừa đảo, gian dối.","Danh sách tổ chức, cá nhân có liên quan đến khủng bố, tài trợ khủng bố do Bộ Công an chủ trì lập và danh sách tổ chức, cá nhân bị chỉ định có liên quan đến phổ biến và tài trợ phổ biến vũ khí hủy diệt hàng loạt do Bộ Quốc phòng chủ trì lập theo quy định của pháp luật.","Danh sách tổ chức, cá nhân có liên quan đến khủng bố, tài trợ khủng bố do Bộ Công an chủ trì lập.",3
2757,"Theo Luật Phòng, chống rửa tiền năm 2022, danh sách cảnh báo được định nghĩa là:","Danh sách tổ chức, cá nhân do Ngân hàng Nhà nước Việt Nam lập nhằm cảnh báo về tổ chức, cá nhân có rủi ro cao về rửa tiền",Danh sách các giao dịch trên tài khoản có sự thay đổi đột biến trong doanh số,"Danh sách các giao dịch mua bán có nguồn tiền từ quỹ đầu tư được mở ở quốc gia, vùng lãnh thổ có rủi ro cao về rửa tiền","Danh sách tổ chức, cá nhân kinh doanh ngành nghề tài chính có liên quan theo quy định pháp luật",1
2758,"Ngân hàng không có sự hiện diện thực tế tại quốc gia hoặc vùng lãnh thổ mà tại đó ngân hàng phải được thành lập và cấp phép, đồng thời không có sự liên kết hoặc kiểm soát của bất kỳ định chế tài chính nào đã được quản lý và giám sát được định nghĩa tại Luật Phòng, chống rửa tiền năm 2022 là loại hình ngân hàng nào?",Ngân hàng nước ngoài,"Văn phòng đại diện, chi nhánh ngân hàng nước ngoài",Ngân hàng vỏ bọc,Ngân hàng đa quốc gia,3
2759,"Theo Luật Phòng, chống rửa tiền năm 2022, người giữ chức vụ cấp cao trong các cơ quan, tổ chức nước ngoài và tổ chức quốc tế là:",Người khởi tạo,Cá nhân có ảnh hưởng chính trị,Cá nhân nước ngoài có ảnh hưởng chính trị,Chủ sở hữu hưởng lợi,3
2760,"""Cá nhân nước ngoài có ảnh hưởng chính trị"" được định nghĩa tại Luật Phòng, chống rửa tiền năm 2022 là:",Người giữ chức vụ cấp cao tại các định chế tài chính nước ngoài,Người giữ chức vụ cấp cao trong bộ máy chính trị tại Việt Nam,Người giữ chức vụ cấp cao tại các tổ chức tín dụng do Ngân hàng Nhà nước Việt Nam là chủ sở hữu,"Người giữ chức vụ cấp cao trong các cơ quan, tổ chức nước ngoài và tổ chức quốc tế",4
2761,"Luật Phòng, chống rửa tiền năm 2022 quy định bao nhiêu hành vi bị nghiêm cấm trong phòng, chống rửa tiền",8,7,6,5,2
2762,"Theo Luật Phòng, chống rửa tiền năm 2022, các hành vi bị nghiêm cấm trong phòng chống rửa tiền:","Tổ chức, tham gia hoặc tạo điều kiện, trợ giúp thực hiện hành vi rửa tiền; Thiết lập, duy trì tài khoản vô danh hoặc tài khoản sử dụng tên giả.","Thiết lập, duy trì quan hệ kinh doanh với ngân hàng vỏ bọc; Cung cấp trái phép dịch vụ nhận tiền mặt, séc, công cụ tiền tệ khác hoặc công cụ lưu trữ giá trị và thực hiện thanh toán cho người thụ hưởng.","Lợi dụng chức vụ, quyền hạn trong phòng, chống rửa tiền xâm phạm quyền và lợi ích hợp pháp của tổ chức, cá nhân.",Tất cả các đáp án trên đều đúng,4
2763,"Đối với thông tin, hồ sơ, tài liệu nhận biết khách hàng, các tổ chức tín dụng có trách nhiệm trong thời hạn bao lâu kể từ ngày kết thúc giao dịch hoặc ngày đóng tài khoản hoặc ngày báo cáo?",02 năm,03 năm,04 năm,05 năm,4
2764,"Theo Luật Phòng, chống rửa tiền năm 2022, thời hạn lưu trữ thông tin, hồ sơ, tài liệu nhận biết khách hàng:",05 năm kể từ ngày kết thúc giao dịch hoặc ngày đóng tài khoản hoặc ngày báo cáo,10 năm kể từ ngày kết thúc giao dịch hoặc ngày đóng tài khoản hoặc ngày báo cáo,15 năm kể từ ngày kết thúc giao dịch hoặc ngày đóng tài khoản hoặc ngày báo cáo,Vĩnh viễn,1
2765,"Theo Luật Phòng, chống rửa tiền năm 2022, thời hạn lưu trữ kết quả phân tích, đánh giá của tổ chức tín dụng đối với khách hàng, giao dịch phải báo cáo là:",02 năm,03 năm,04 năm,05 năm,4
2766,"Theo Luật Phòng, chống rửa tiền năm 2022, thời hạn lưu trữ báo cáo giao dịch có giá trị lớn phải báo cáo là bao nhiêu năm kể từ ngày phát sinh giao dịch?",02 năm,03 năm,04 năm,05 năm,4
2767,"Theo Luật Phòng, chống rửa tiền năm 2022, thời hạn lưu trữ báo cáo giao dịch đáng ngờ là bao nhiêu năm kể từ ngày phát sinh giao dịch?",05 năm,04 năm,03 năm,02 năm,1
2768,Tiêu chí đánh giá rủi ro về rửa tiền của đối tượng báo cáo bao gồm tiêu chí nào?,Tiêu chí nguy cơ,"Tiêu chí mức độ chính xác của chính sách, quy định nội bộ về phòng, chống rửa tiền tại đối tượng báo cáo","Tiêu chí nguy cơ rửa tiền và tiêu chí mức độ phù hợp của chính sách, quy định nội bộ về phòng, chống rửa tiền tại đối tượng báo cáo",,3
2769,Tiêu chí nguy cơ rửa tiền bao gồm tiêu chí nào sau đây?,Tiêu chí nguy cơ rửa tiền từ môi trường kinh doanh; tiêu chí mức độ an toàn vốn,Tiêu chí nguy cơ rửa tiền từ hoạt động kinh doanh; tiêu chí khả năng thanh khoản,Tiêu chí nguy cơ rửa tiền từ môi trường kinh doanh; tiêu chí nguy cơ rửa tiền từ hoạt động kinh doanh,,3
2770,Tiêu chí nguy cơ rửa tiền từ hoạt động kinh doanh bao gồm các tiêu chí nào sau đây?,Tiêu chí nguy cơ rửa tiền từ khách hàng,"Tiêu chí nguy cơ rửa tiền từ khách hàng, sản phẩm dịch vụ cung cấp cho khách hàng và cách thức phân phối sản phẩm, dịch vụ","Tiêu chí nguy cơ rửa tiền từ ngành, lĩnh vực hoạt động kinh doanh","Tiêu chí nguy cơ từ ngành, lĩnh vực hoạt động kinh doanh",2
2771,Tiêu chí nào sau đây không thuộc tiêu chí nguy cơ rửa tiền từ hoạt động kinh doanh?,Tiêu chí nguy cơ rửa tiền từ khách hàng,Tiêu chí nguy cơ rửa tiền từ sản phẩm dịch vụ cung cấp cho khách hàng,"Tiêu chí nguy cơ rửa tiền từ ngành, lĩnh vực hoạt động kinh doanh",Tiêu chí nguy cơ rửa tiền từ cách thức phân phối sản phẩm dịch vụ cho khách hàng,3
2772,"Điểm số của tiêu chí mức độ phù hợp của chính sách, quy định nội bộ về phòng, chống rửa tiền tại đối tượng báo cáo được xác định theo thang điểm như thế nào?","Từ 1 đến 5 theo nguyên tắc điểm số có giá trị càng nhỏ thì mức độ phù hợp của chính sách, quy định nội bộ về phòng,chống rửa tiền càng cao","Từ 1 đến 10 theo nguyên tắc điểm số có giá trị càng nhỏ thì mức độ phù hợp của chính sách, quy định nội bộ về phòng, chống rửa tiền càng thấp","Từ 1 đến 10 theo nguyên tắc điểm số có giá trị càng nhỏ thì mức độ phù hợp của chính sách, quy định nội bộ về phòng, chống rửa tiền càng cao","Từ 1 đến 10 theo nguyên tắc điểm số có giá trị càng cao thì mức độ phù hợp của chính sách, quy định nội bộ về phòng, chống rửa tiền càng cao",1
2773,Các mức độ nguy cơ rửa tiền của đối tượng báo cáo bao gồm:,"Thấp, Trung bình thấp, Trung bình, Trung bình cao, Cao","Thấp, Trung bình, Cao","Thấp, Cao","Thấp, Trung bình, Cao, Rất cao",1
2774,"Các mức độ phù hợp của chính sách, quy định nội bộ về phòng, chống rửa tiền của đối tượng báo cáo bao gồm:","Thấp, Trung bình thấp, Trung bình, Trung bình cao, Cao","Thấp, Trung bình, Cao","Thấp, Cao","Thấp, Trung bình, Cao, Rất cao",1
2775,Các mức độ rủi ro về rửa tiền của đối tượng báo cáo bao gồm?,"Thấp, Trung bình thấp, Trung bình, Trung bình cao, Cao","Thấp, Trung bình, Cao","Thấp, Cao","Thấp, Trung bình, Cao, Rất cao",1
2776,Nếu điểm số rủi ro về rửa tiền < 1 thì mức độ rủi về rửa tiền là,Cao,Trung bình cao,Trung bình,Thấp,4
2777,Nếu điểm số rủi ro về rửa tiền lớn hơn 1 và < 2 thì mức độ rủi về rửa tiền là,Cao,Trung bình cao,Trung bình thấp,Thấp,3
2778,Nếu điểm số rủi ro về rửa tiền lớn hơn 2 và < 3 thì mức độ rủi về rửa tiền là,Cao,Trung bình cao,Trung bình,Thấp,3
2779,"Tổ chức tín dụng phải đào tạo kiến thức cơ bản về phòng, chống rửa tiền cho nhân viên trong thời hạn bao lâu kể từ ngày được tuyển dụng?",Không có quy định của pháp luật về nội dung này,3 tháng,6 tháng,12 tháng,3
2780,"Nội dung đào tạo, bồi dưỡng nghiệp vụ phòng, chống rửa tiền bao gồm:",Quy định của pháp luật và quy định nội bộ về PCRT; trách nhiệm khi không thực hiện các quy định trên.,"Phương thức, thủ đoạn rửa tiền","Rủi ro về rửa tiền liên quan đến sản phẩm, dịch vụ; nhiệm vụ mà lãnh đạo, nhân viên được giao thực hiện",Tất cả đáp án trên đều đúng,4
2781,"Một trong các nội dung kiểm toán nội bộ về phòng, chống rửa tiền là:","Kiến nghị, đề xuất các biện pháp nhằm nâng cao hiệu quả, hiệu lực của công tác phòng, chống rửa tiền","Kiến nghị, đề xuất các biện pháp nhằm nâng cao hiệu quả hoạt động kinh doanh","Kiến nghị, đề xuất các biện pháp nhằm tuân thủ quy định về đảm bảo an toàn vốn","Kiến nghị, đề xuất các biện pháp nhằm tuân thủ nguyên tắc quản lý rủi ro tín dụng",1
2782,"Các nội dung phải đăng ký thông tin của người chịu trách nhiệm về phòng, chống rửa tiền bao gồm:","Họ tên, địa chỉ nơi làm việc, số điện thoại, địa chỉ thư điện tử để liên lạc khi cần thiết","Họ tên, địa chỉ nơi làm việc, số điện thoại","Họ tên, số điện thoại nơi làm việc, địa chỉ thường trú","Họ tên, địa chỉ thường trú, địa chỉ thư điện tử để liên lạc khi cần thiết",1
2783,Thông tin nhận biết khách hàng không bao gồm thông tin nào sau đây?,"Thông tin nhận dạng khách hàng, kể cả thông tin về người đại diện của khách hàng cá nhân (nếu có).",Thông tin về thân nhân của khách hàng.,Mục đích và bản chất mối quan hệ kinh doanh của khách hàng với Agribank.,,2
2784,Thông tin nhận dạng đối với khách hàng cá nhân có một quốc tịch là người Việt Nam bao gồm:,"Họ và tên; ngày, tháng, năm sinh; quốc tịch; số điện thoại, số chứng minh nhân dân hoặc số hộ chiếu, ngày cấp, nơi cấp; địa chỉ nơi ở hiện tại.","Họ và tên; ngày, tháng, năm sinh; quốc tịch; nghề nghiệp, chức vụ; số điện thoại liên lạc; số CMND/ CCCD/ định danh cá nhân/hộ chiếu, ngày cấp, nơi cấp; địa chỉ đăng ký thường trú và nơi ở hiện tại khác (nếu có)","Họ và tên , các quốc tịch, hộ chiếu, thị thực nhập cảnh (nếu có), địa chỉ nơi đăng ký cư trú/ địa chỉ đăng ký cư trú tại các quốc gia mang quốc tịch","Họ và tên, năm sinh, số điện thoại nơi làm việc, địa chỉ đăng ký thường trú và nơi ở hiện tại khác",2
2785,Thông tin nhận dạng khách hàng là tổ chức gồm những thông tin gì?,"Tên giao dịch đầy đủ và viết tắt; số giấy phép thành lập, mã số doanh nghiệp hoặc mã số thuế; số điện thoại liên lạc; lĩnh vực hoạt động, kinh doanh; thông tin về người thành lập","Tên giao dịch đầy đủ và viết tắt; địa chỉ trụ sở chính; số giấy phép thành lập, mã số doanh nghiệp hoặc mã số thuế; số điện thoại liên lạc; số fax, trang thông tin điện tử (nếu có); lĩnh vực hoạt động, kinh doanh.","Tên giao dịch đầy đủ và viết tắt; địa chỉ trụ sở chính; số giấy phép thành lập, mã số doanh nghiệp hoặc mã số thuế; số điện thoại liên lạc; số fax, trang thông tin điện tử (nếu có); lĩnh vực hoạt động, kinh doanh; thông tin về người thành lập, người đại diện theo pháp luật, Giám đốc hoặc Tổng giám đốc, Kế toán trưởng hoặc người phụ trách kế toán (nếu có).",,3
2786,"Agribank phải xác định chủ sở hữu hưởng lợi và áp dụng các biện pháp để nhận biết, cập nhật thông tin về chủ sở hữu hưởng lợi đối với",Các khách hàng thuộc đối tượng phải nhận biết theo quy định,Chỉ áp dụng đối với khách hàng cá nhân,Chỉ áp dụng đối với khách hàng tổ chức,Chỉ áp dụng đối với khách hàng là người nước ngoài,1
2787,Thông tin nhận biết khách hàng phải bao gồm mục đích và bản chất của mối quan hệ kinh doanh của khách hàng với đối tượng nào?,Chủ sở hữu hưởng lợi,Đối tác của khách hàng,Đối tượng báo cáo,Cá nhân nước ngoài có ảnh hưởng chính trị,3
2788,"Các tài liệu, dữ liệu để xác minh thông tin nhận biết khách hàng cá nhân bao gồm:","Chứng minh nhân dân, căn cước công dân hoặc hộ chiếu còn thời hạn sử dụng; giấy tờ khác do cơ quan có thẩm quyền cấp","Chứng minh nhân dân, căn cước công dân hoặc hộ chiếu; giấy tờ khác do cơ quan có thẩm quyền cấp",Chỉ sử dụng chứng minh nhân dân hoặc căn cước công dân,Chỉ sử dụng hộ chiếu,1
2789,Giấy tờ nào không dùng để xác minh thông tin nhận biết khách hàng cá nhân?,Chứng minh nhân dân,Căn cước công dân,Hộ chiếu,Thư giới thiệu của cá nhân,4
2790,"Trường hợp khách hàng không có chứng minh nhân dân, Agribank có thể sử dụng loại giấy tờ sau để xác minh thông tin nhận diện khách hàng",Hộ chiếu,Thư giới thiệu của cá nhân,Không được sử dụng giấy tờ khác,,1
2791,Giấy tờ nào không bắt buộc dùng để xác minh thông tin nhận biết khách hàng tổ chức?,Giấy phép thành lập,Giấy chứng nhận đăng ký kinh doanh,Quyết định bổ nhiệm Trưởng phòng kinh doanh,Điều lệ của tổ chức,3
2792,Mức giao dịch có giá trị lớn phải báo cáo là,Từ 400 triệu đồng trở lên,Từ 300 triệu đồng trở lên,Từ 200 triệu đồng trở lên,Từ 100 triệu đồng trở lên,1
2793,"Agribank có trách nhiệm báo cáo Cục Phòng, chống rửa tiền khi thực hiện giao dịch chuyển tiền điện tử trong nước có giá trị bao nhiêu?",Từ 500 triệu đồng trở lên hoặc bằng ngoại tệ có giá trị tương đương,Từ 450 triệu đồng trở lên hoặc bằng ngoại tệ có giá trị tương đương,Từ 400 triệu đồng trở lên hoặc bằng ngoại tệ có giá trị tương đương,Từ 350 triệu đồng trở lên hoặc bằng ngoại tệ có giá trị tương đương,1
2794,"Agribank có trách nhiệm báo cáo Cục Phòng, chống rửa tiền khi thực hiện giao dịch chuyển tiền điện tử quốc tế có giá trị bao nhiêu?",Từ 500USD trở lên hoặc bằng ngoại tệ có giá trị tương đương,Từ 600USD trở lên hoặc bằng ngoại tệ có giá trị tương đương,Từ 800USD trở lên hoặc bằng ngoại tệ có giá trị tương đương,Từ 1.000USD trở lên hoặc bằng ngoại tệ có giá trị tương đương,4
2795,"Theo Nghị định 19/2023/NĐ-CP, giao dịch không phù hợp với quy mô, loại hình và lĩnh vực hoạt động của khách hàng hoặc không phù hợp với tần suất, phương thức và quy mô của các giao dịch tương đương trong cùng ngành, lĩnh vực là loại giao dịch gì?",Giao dịch có giá trị bất thường,Giao dịch có giá trị lớn bất thường,Giao dịch phức tạp,Giao dịch bất thường,3
2796,"Mức phạt tiền đối với hành vi Không báo cáo đúng thời hạn theo quy định của pháp luật về phòng, chống rửa tiền, phòng, chống tài trợ khủng bố là bao nhiêu?",50 triệu đồng,70 triệu đồng,100 triệu đồng,Từ 80 triệu đồng đến 120 triệu đồng,4
2797,Mức phạt tiền đối với hành vi không cập nhật; không xác minh thông tin nhận biết khách hàng là bao nhiêu?,100 triệu đồng đến 130 triệu đồng.,100 triệu đồng đến 150 triệu đồng.,100 triệu đồng đến 120 triệu đồng.,50 triệu đồng đến 100 triệu đồng.,2
2798,"Mức phạt tiền đối với hành vi không cập nhật danh sách tổ chức, cá nhân có liên quan đến khủng bố, tài trợ khủng bố là bao nhiêu?",50 triệu đồng đến 100 triệu đồng.,150 triệu đồng đến 200 triệu đồng.,100 triệu đồng đến 150 triệu đồng.,100 triệu đồng đến 130 triệu đồng.,3
2799,"Mức phạt tiền đối với hành vi không xây dựng hệ thống quản lý rủi ro để xác định khách hàng nước ngoài là cá nhân có ảnh hưởng chính trị theo quy định tại các khoản 2, 3 Điều 13 Luật Phòng, chống rửa tiền là bao nhiêu?",Từ 50 triệu đồng đến 100 triệu đồng,Từ 100 triệu đồng đến 2000 triệu đồng,Từ 200 triệu đồng đến 300 triệu đồng,Từ 150 triệu đồng đến 200 triệu đồng,4
2800,"Quy định giao nhận, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá trong hệ thống Agribank không áp dụng cho đối tượng nào sau đây?",Công ty con,,,,1
2801,Một bó tiền bao gồm mấy thếp ,10,,,,1
2802,Đóng gói tiền mặt như thế nào?,"Buộc 3 vòng ngang song song, cách đều, và 1 vòng chạy giữa chiều dọc có tiền",,,,1
2803,Một gói tiền kim loại gồm bao nhiêu miếng?,Gồm 1000 ,,,,1
2804,Băng giấy được cuốn ở vị trí nào của thếp tiền?,1/3 chiều dài thếp tiền,,,,1
2805,Giấy niêm phong bó tiền của Agribank được quy định thống nhất như thế nào?,"Giấy mỏng màu trắng, mực in màu xanh cô ban",,,,1
2806,Các nội dung ghi trên giấy niêm phong bó tiền phải được ghi bằng loại bút nào?,Bút bi,,,,1
2807,"Người nào phải chịu trách nhiệm về bó, túi, bao, hộp, thùng tiền đã niêm phong?","Người nào có họ tên, chữ kí trên giấy niêm phong",,,,1
2808,"Đóng gói, niêm phong tài sản quý, giấy tờ có giá thực hiện như thế nào?",Thực hiện như quy định đóng gói niêm phong tiền mặt,,,,1
2809,"Thu, chi tiền mặt, ngoại tệ mặt giấy tờ có giá phải căn cứ chứng từ nào dưới đây?",Chứng từ kế toán,,,,1
2810,"Hết giờ làm việc hằng ngày, toàn bộ tiền mặt, tài sản quý, giấy tờ có giá, và các tài sản khác được bảo quản tại đâu?",Trong kho tiền,,,,1
2811,Kho tiền của chi nhánh thì ai là người phải chịu trách nhiệm và thực hiện các nhiệm vụ liên quan đến kho tiền tại đơn vị mình?,Giám đốc chi nhánh,,,,1
2812,"Người chịu trách nhiệm quản lý, hướng dẫn, thực hiện, kiểm tra, giám sát việc xuất nhập, bảo quản tài sản trong kho tiền là ai trong các đối tượng sau?",Trưởng phòng kế toán ngân quỹ,,,,1
2813,"Ai là người chịu trách nhiệm kiểm tra, đối chiếu số liệu giữa sổ kế toán và sổ sách thủ quỹ/thủ kho tiền đảm bảo sự khớp đúng",Trưởng phòng kế toán ngân quỹ,,,,1
2814,"Việc hướng dẫn, kiểm tra việc mở và ghi chép sổ sách của thủ quỹ, thủ kho tiền thuộc trách nhiệm của ai?",Trưởng phòng kế toán ngân quỹ,,,,1
2815,Trách nhiệm của kiểm ngân là gì?,"Kiểm đếm, tuyển chọn, đóng gói, niêm phong, bốc xếp, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá theo quy trình, quy định nghiệp vụ",,,,1
2816,Tiêu chuẩn của cán bộ làm công tác tiền tệ kho quỹ trong hệ thống Agribank là gì?,3 phương án trên đều đúng,,,,1
2817,Yêu cầu chung đối với cán bộ làm công tác tiền tệ kho quỹ trong hệ thống Agribank là gì?,3 phương án trên đều đúng,,,,1
2818,Trường hợp nào trong 4 trường hợp sau đây không được bố trí làm cán bộ quản lý kho quỹ Agribank?,"Vợ hoặc chồng, bố mẹ, con đẻ, con nuôi, anh chị em ruột, kể cả chị, em ruột vợ hoặc chồng của GĐ và PGĐ",,,,1
2819,"Việc quản lý kho tiền, giám sát, xuất nhập, bảo quản tiền mặt, tài sản quý, giấy tờ có giá, quản lý và sử dụng chìa khóa cửa kho tiền là trách nhiệm và nhiệm vụ của ai?",Ban quản lý kho tiền,,,,1
2820,Thời hạn ủy quyền bằng văn bản của Giám đốc cho 01 PGĐ không quá thời điểm nào trong năm?,31/12,,,,1
2821,"Để quản lý, nắm bắt thực trạng toàn bộ tài sản và điều hành kịp thời kho quỹ, giám đốc chi nhánh phải trực tiếp tham gia kiểm kê tối thiểu bao nhiêu lần trong tháng?",01 lần,,,,1
2822,"Mỗi ổ khóa cửa kho tiền, cửa gian kho, két sắt, tủ sắt, phải luôn có đủ và đúng mấy chìa?",02 chìa,,,,1
2823,"Trường hợp cửa kho tiền, két sắt có ổ khóa không sử dụng (thừa), ai là người có trách nhiệm lập biên bản niêm phong ổ khóa không sử dụng",Giám đốc,,,,1
2824,Từng thành viên giữ chìa khóa cửa kho tiền phải bảo quản an toàn chìa khóa sử dụng hàng ngày tại đâu?,Trong két sắt riêng đặt tại nơi làm việc trụ sở cơ quan,,,,1
2825,Chìa khóa và mã số sử dụng hàng ngày của thùng chở tiền xe chuyên dụng giao cho ai?,Người áp tải,,,,1
2826,"Cuối ngày làm việc, chìa khóa két sắt đang dùng của từng giao dịch viên được bảo quản trong hộp tôn nhỏ, có khóa, có niêm phong, gửi vào két do ai quản lý?",Trưởng phòng kế toán ngân quỹ,,,,1
2827,"Văn bản đề xuất mở hộp khóa dự phòng cửa kho tiền, cửa gian kho, két sắt phải được ai chấp thuận bằng văn bản?",Giám đốc,,,,1
2828,"Khi xảy ra hỏng hóc, mất mát, thì việc sửa chữa, thay thế chìa khóa két ATM do đơn vị nào thực hiện?",Thông qua đơn vị cung cấp máy ATM hoặc đơn vị cung cấp dịch vụ bảo trì ATM theo quy định,,,,1
2829,"Quản lý và bảo quản chìa khóa kho tiền, két sắt theo đúng quy định thuộc trách nhiệm của ai?","Cán bộ được giao nhiệm vụ quản lý, sử dụng chìa khóa kho tiền, két sắt",,,,1
2830,"Chìa khóa két sắt của máy ATM, chìa khóa két sắt của xe chuyên dụng chở hàng đặc biệt khi sử dụng xong phải bảo quản tại đâu?",Mang về bảo quản tại trụ sở cơ quan ,,,,1
2831,"Khi vào, ra kho tiền, ai là người vào đầu tiên và ra cuối cùng?",Thủ kho tiền,,,,1
2832,"Những người có nhiệm vụ vào quầy giao dịch tiền mặt, kho tiền phải mặc trang phục như thế nào?",Trang phục bảo hộ lao động hoặc trang phục không túi,,,,1
2833,"Không được mang theo vào quầy giao dịch, kho tiền vật dụng nào sau đây?","Tư trang, túi xách, tiền mặt, tài sản quý của cá nhân",,,,1
2834,Khi vận chuyển ngoại tệ mặt ra nước ngoài hay nhập ngoại tệ mặt phải có lệnh của ai?,Tổng giám đốc,,,,1
2835,"Trong lệnh điều chuyển, vận chuyển hàng đặc biệt phải nêu rõ những nội dung gì?",Cả 3 đáp án trên,,,,1
2836,"Điều chuyển tiền mặt, tài sản quý, giấy tờ có giá, trong nội bộ chi nhánh (bao gồm cả thu, chi tiền mặt lưu động tại địa chỉ của khách hàng) do ai chịu trách nhiệm kí lệnh?",Giám đốc chi nhánh,,,,1
2837,"Đối với những nơi có đường giao thông khó khăn, hoặc vùng sông nước,… không thể đi xe ô tô thì số tiền vận chuyển 01 lần không được vượt quá bao nhiêu ?",500 củ,,,,1
2838,Lực lượng tham gia vận chuyển hàng đặc biệt tối thiểu phải có các đối tượng nào sau đây?,Cả 3 đáp án trên,,,,1
2839,"Trường hợp đặc biệt khác phải thuê phương tiện như: máy bay, tàu hỏa, tàu biển phải được ai phê duyệt?",Tổng giám đốc,,,,1
2840,"Kiểm tra toàn diện công tác đảm bảo an toàn kho quỹ và tổng kiểm kê tiền mặt, tài sản, giấy tờ có giá, được thực hiện mấy lần trong năm?",02 lần,,,,1
2841,"Kiểm kê tiền mặt, tài sản quỹ, giấy tờ có giá, tài sản thế chấp, cầm cố, tài sản khác bảo quản trong kho tiền vào thời gian nào mỗi tháng?","Thời điểm 0h ngày mùng 01 hàng tháng, nếu trùng ngày nghỉ chuyển ngày làm việc tiếp theo",,,,1
